Name,MarketCap,Sales,Market_Cap_Category,Sales_Qrt_Category,PS_Ratio
Magma Fincorp,3826.83,580.58,Very Small Cap,Low Sales,6.59
VRL Logistics,3824.69,489.34,Very Small Cap,Very Low Sales,7.82
ICRA,3809.0,82.87,Very Small Cap,Very Low Sales,45.96
Shriram Pistons,3804.58,430.8,Very Small Cap,Very Low Sales,8.83
IFCI,3789.45,626.8,Very Small Cap,Low Sales,6.05
Suprajit Engg.,3777.26,366.29,Very Small Cap,Very Low Sales,10.31
J & K Bank,3775.5,1682.97,Very Small Cap,Medium Sales,2.24
Navin Fluo.Intl.,3769.26,221.45,Very Small Cap,Very Low Sales,17.02
Karnataka Bank,3765.74,1332.24,Very Small Cap,Medium Sales,2.83
Shilpa Medicare,3764.1,185.53,Very Small Cap,Very Low Sales,20.29
Kushal,3761.86,578.18,Very Small Cap,Low Sales,6.51
Venky's (India),3760.61,695.85,Very Small Cap,Low Sales,5.4
CCL Products,3748.73,273.99,Very Small Cap,Very Low Sales,13.68
Excel Crop Care,3734.06,258.65,Very Small Cap,Very Low Sales,14.44
Trident,3722.6,1137.17,Very Small Cap,Medium Sales,3.27
Corporation Bank,3716.46,4387.85,Very Small Cap,High Sales,0.85
Rane Holdings,3711.8,593.74,Very Small Cap,Low Sales,6.25
Team Lease Serv.,3677.34,918.06,Very Small Cap,Low Sales,4.01
Oriental Bank,3674.6,4262.08,Very Small Cap,High Sales,0.86
I T D C,3619.04,102.14,Very Small Cap,Very Low Sales,35.43
S C I,3582.0,879.56,Very Small Cap,Low Sales,4.07
JK Tyre & Indust,3577.98,2123.24,Very Small Cap,Medium Sales,1.69
Deepak Nitrite,3531.9,371.14,Very Small Cap,Very Low Sales,9.52
Heidelberg Cem.,3531.77,491.23,Very Small Cap,Very Low Sales,7.19
Sharda Cropchem,3528.07,325.46,Very Small Cap,Very Low Sales,10.84
Dixon Technolog.,3526.8,677.8,Very Small Cap,Low Sales,5.2
Himatsing. Seide,3511.08,595.61,Very Small Cap,Low Sales,5.89
La Opala RG,3510.93,69.77,Very Small Cap,Very Low Sales,50.32
H F C L,3482.71,714.42,Very Small Cap,Low Sales,4.87
Reliance Home,3470.6,403.0,Very Small Cap,Very Low Sales,8.61
Rupa & Co,3460.91,277.96,Very Small Cap,Very Low Sales,12.45
Ent.Network,3380.99,148.42,Very Small Cap,Very Low Sales,22.78
Supreme Petroch.,3377.57,725.02,Very Small Cap,Low Sales,4.66
MAS FINANC SER,3376.2,112.05,Very Small Cap,Very Low Sales,30.13
Thyrocare Tech.,3374.38,77.84,Very Small Cap,Very Low Sales,43.35
Prakash Inds.,3336.05,725.97,Very Small Cap,Low Sales,4.6
Repco Home Fin,3331.08,277.48,Very Small Cap,Very Low Sales,12.0
Sonata Software,3329.58,766.75,Very Small Cap,Low Sales,4.34
Central Dep. Ser,3316.31,47.24,Very Small Cap,Very Low Sales,70.2
Puravankara,3274.9,440.09,Very Small Cap,Very Low Sales,7.44
Tejas Networks,3209.89,229.87,Very Small Cap,Very Low Sales,13.96
ITD Cem,3192.67,472.98,Very Small Cap,Very Low Sales,6.75
Hathway Cable,3189.1,138.65,Very Small Cap,Very Low Sales,23.0
Dhanuka Agritech,3188.62,221.51,Very Small Cap,Very Low Sales,14.39
Mahindra Logis.,3187.51,835.06,Very Small Cap,Low Sales,3.82
Heritage Foods,3185.45,581.74,Very Small Cap,Low Sales,5.48
Mah. Seamless,3164.73,563.66,Very Small Cap,Low Sales,5.61
Navneet Educat.,3148.36,174.41,Very Small Cap,Very Low Sales,18.05
Firstsour.Solu.,3139.94,887.24,Very Small Cap,Low Sales,3.54
Kaveri Seed Co.,3125.83,70.64,Very Small Cap,Very Low Sales,44.25
Star Ferro Cem.,3115.98,393.49,Very Small Cap,Very Low Sales,7.92
Deepak Fert.,3079.06,1644.92,Very Small Cap,Medium Sales,1.87
Va Tech Wabag,3041.93,460.89,Very Small Cap,Very Low Sales,6.6
Prime Focus,3031.5,609.61,Very Small Cap,Low Sales,4.97
Lak. Vilas Bank,3029.57,790.17,Very Small Cap,Low Sales,3.83
NOCIL,3026.26,249.27,Very Small Cap,Very Low Sales,12.14
Orient Cement,3024.32,511.53,Very Small Cap,Very Low Sales,5.91
Natl.Fertilizer,3017.07,2840.75,Very Small Cap,High Sales,1.06
